sample_id,source_file,true_label,transcript,risk_score,category,traffic_light,predicted_label,correct,whisper_latency_s,llm_latency_s,total_latency_s,matched_patterns,pattern_count,strong_hits,medium_hits,error
sample_001,C:\src\guardian_line\data\scam\audio-wav-16khz_1112259_normalized.txt,scam,"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_002,C:\src\guardian_line\data\scam\audio-wav-16khz_58345_normalized.txt,scam,"to connect with Apple Support Advisor. Press 2 to listen to this message again. Or if you wish to contact us later, please call us on our toll-free number, 315-232-8257. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_003,C:\src\guardian_line\data\scam\audio-wav-16khz_936704_normalized.txt,scam,"Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_004,C:\src\guardian_line\data\scam\audio-wav-16khz_1100696_normalized.txt,scam,"one to start your claim. Otherwise, press 2 to speak with the billing department.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_005,C:\src\guardian_line\data\scam\audio-wav-16khz_807777_normalized.txt,scam,"Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_006,C:\src\guardian_line\data\scam\audio-wav-16khz_520125_normalized.txt,scam,"On your excellent payment history, you now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_007,C:\src\guardian_line\data\scam\audio-wav-16khz_1638881759.18243_in_Family_Communication_Robocall__Amazon-SuspiciousCharge_normalized.txt,scam,"Hi, this is Daniel from Amazon customer service. We have seen a recent order number, AMZ0987, of iPhone 11 Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1499. We noticed some suspicious activity on your account. So we have put in hold to this transaction. Please press 1 now. And to report please press 2. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_008,C:\src\guardian_line\data\scam\audio-wav-16khz_598182_normalized.txt,scam,"is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_009,C:\src\guardian_line\data\scam\audio-wav-16khz_520014_normalized.txt,scam,"Greetings, this is an automated message from the Disconnection Department of the Marva Power and Light to inform you that you will be experiencing a disconnection of service today within 30 minutes. Please press 1 to speak to a representative. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_010,C:\src\guardian_line\data\scam\audio-wav-16khz_660764_normalized.txt,scam,"Hi, this is Melissa with Student Support Center. I am following up in regards to your outstanding federal student loan balance. We have been trying to reach you because you are eligible for the Federal Student Loan Forgiveness Program due to the changes made in 2022. It's imperative that we speak to you as soon as possible since the student loan payment delay is about to come to an end. You can reach us directly to discuss your options at 833-631-7911. Again, that's 833-631-7911. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_011,C:\src\guardian_line\data\scam\audio-wav-16khz_568965_normalized.txt,scam,"this is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press 5 now or press 9 to be removed from our list. Hi this is Susie calling",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_012,C:\src\guardian_line\data\scam\audio-wav-16khz_719755_normalized.txt,scam,"The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_013,C:\src\guardian_line\data\scam\audio-wav-16khz_719750_normalized.txt,scam,"The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_014,C:\src\guardian_line\data\scam\audio-wav-16khz_1205446_normalized.txt,scam,"please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing our services.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_015,C:\src\guardian_line\data\scam\audio-wav-16khz_241125_normalized.txt,scam,"This message is intended to contact you, regarding a legal enforcement action executed under your social security number for suspicious and fraudulent activities committed in the state of Texas. And we just suspended your social security number. Ignoring this will be an intentional second attempt, to avoid initial appearance before magistrate, judge, or grand jury for a federal criminal offense, this is the final attempt to reach you, so if you want to know about this case just press 1.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_016,C:\src\guardian_line\data\scam\audio-wav-16khz_500510_normalized.txt,scam,We would like to inform you that there is an order placed for Apple iPhone 12 Pro using your Amazon account. If you do not authorize this order then press 1 or press 2 to authorize the order.,5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_017,C:\src\guardian_line\data\scam\audio-wav-16khz_274452_normalized.txt,scam,"Hello, this is Mary Marcello regarding your COVID-19 relief payment, and you can reach me at my state assigned phone number, 855-228-4781, and it's my job to make you aware that because you qualified for a relief payment, you also qualify for the new debt relief program. The primary focus of this program is to provide student loan debt relief by either significantly reducing the amount you owe or eliminating it altogether. This was just passed by the Biden administration, actively known as Biden",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_018,C:\src\guardian_line\data\scam\audio-wav-16khz_635443_normalized.txt,scam,"Next from your Amazon account, which will charge you $899. If you did not authorize this order, then press 1 for Amazon support. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_019,C:\src\guardian_line\data\scam\audio-wav-16khz_587263_normalized.txt,scam,"Hi, this is Melanie. I'm giving you a call from the dealer service center. We recently noticed your car's extended warranty would expire and wanted to provide you with one final courtesy call before your warranty expires and your warranty coverage becomes voided. This would make you financially responsible for all service repairs. If you wish to extend or reinstate your car's warranty, press 4 now or press 9 to discontinue coverage and discontinue receiving these reminders.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_020,C:\src\guardian_line\data\scam\audio-wav-16khz_651815_normalized.txt,scam,"AirPods is being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_021,C:\src\guardian_line\data\scam\audio-wav-16khz_482002_normalized.txt,scam,"suspicious, and fraudulent activities carried out using your identities. The court has issued a suspension notice, along with a warrant against your name. Ignoring this message would be an intentional second attempt to avoid an initial appearance before the magistrate judge, or the exempt jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available agent.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_022,C:\src\guardian_line\data\scam\audio-wav-16khz_1155333_normalized.txt,scam,"And no one has signed for it For English inquiries, please press 1 And Chinese, please press 2 Sydex 国际快递最后一次通知您 We have an email that has been sent twice and no one has signed If you want to check it, please press 1 And Chinese, please press 2",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_023,C:\src\guardian_line\data\scam\audio-wav-16khz_27991_normalized.txt,scam,to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.,5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_024,C:\src\guardian_line\data\scam\audio-wav-16khz_582925_normalized.txt,scam,"being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_025,C:\src\guardian_line\data\scam\audio-wav-16khz_525133_normalized.txt,scam,Department of Social Security Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you.,5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_026,C:\src\guardian_line\data\scam\audio-wav-16khz_1211775_normalized.txt,scam,"Hello, this call is from Amazon. We have gone through your account, and we found that your Amazon account has been used for shopping purpose, as we can see multiple orders placed from your Amazon account. Now, to confirm your order, press 2, or press 1 to talk to our representative.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_027,C:\src\guardian_line\data\scam\audio-wav-16khz_942979_normalized.txt,scam,"Hi there, I'm calling you from Spectrum to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-649-1413 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you and have a great day.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_028,C:\src\guardian_line\data\scam\audio-wav-16khz_447375_normalized.txt,scam,"Hi, my name is Jason, calling you from Energy Advocates. How are you today? What I would like to do is tell you a little about the solar program. The benefits, tax rebates, and grants from the government that typically mean going solar is absolutely free for most people. I understand you are the homeowner of a single family regular house, right? Hello? How are you today?",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_029,C:\src\guardian_line\data\scam\audio-wav-16khz_790368_normalized.txt,scam,"call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. Press 1 and you will be connected to the concerned department.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_030,C:\src\guardian_line\data\scam\audio-wav-16khz_497288_normalized.txt,scam,"Hi, this is the alert system with FISA MasterCard account services with important changes to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_031,C:\src\guardian_line\data\scam\audio-wav-16khz_1116635_normalized.txt,scam,这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务,5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
